"","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback","Target"
"2","5/12/2014 12:32","5/12/2014 12:41","1","NPW",NA,"1",NA,"1","6","6","3","5","6","5","6","6","6","3","2","3","6","5","6","5","5","3","187","36","1","6",NA,"41",NA,"Scientists"
"3","5/12/2014 21:36","5/12/2014 21:45","1","NPW",NA,"1",NA,"1","6","7","5","6","6","6","6","6","6","5","6","4","6","7","7","7","5","3","187","18","1","6",NA,"39",NA,"Scientists"
"4","5/14/2014 10:27","5/14/2014 10:34","1","NPW",NA,"1",NA,"1","7","6","6","7","7","7","7","7","7","5","5","4","6","7","7","7","7","3","169","14","1","6",NA,"41",NA,"Scientists"
"5","5/14/2014 11:26","5/14/2014 11:30","1","NPW",NA,"1",NA,"1","6","6","5","5","6","6","6","6","6","5","6","6","6","6","6","4","6","2","65","17","1","6",NA,"41",NA,"Scientists"
"6","5/14/2014 12:14","5/14/2014 12:21","1","NPW",NA,"1",NA,"1","5","5","2","6","7","7","6","6","5","5","5","5","6","6","6","6","4","2","185","21","1","6",NA,"42",NA,"Scientists"
"7","5/14/2014 12:22","5/14/2014 12:33","1","NPW",NA,"1",NA,"1","4","6","6","6","6","6","6","6","6","4","6","6","5","5","5","5","3","2","169","2","1","6",NA,"39",NA,"Scientists"
"8","5/14/2014 12:55","5/14/2014 12:56","1","NPW",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientists"
"9","5/14/2014 13:28","5/14/2014 13:33","1","NPW",NA,"1",NA,"1","5","6","2","5","6","6","6","6","6","5","6","6","6","6","6","5","5","3","187","15","1","6",NA,"38",NA,"Scientists"
"10","5/14/2014 13:56","5/14/2014 14:01","1","NPW",NA,"1",NA,"1","6","5","5","7","6","6","5","7","7","5","5","5","5","2","7","5","3","1","187","25","1","6",NA,"40",NA,"Scientists"
"11","5/14/2014 14:39","5/14/2014 14:49","1","NPW",NA,"1",NA,"1","6","6","4","4","5","5","6","6","6","6","6","5","6","6","6","6","5","1","184","7","1","6",NA,"41",NA,"Scientists"
"12","5/14/2014 15:06","5/14/2014 15:12","1","NPW",NA,"1",NA,"1","6","6","4","6","6","6","6","6","6","2","4","5","6","6","6","3","3","2","61",NA,"1","6",NA,"38",NA,"Scientists"
"13","5/14/2014 15:09","5/14/2014 15:13","1","NPW",NA,"1",NA,"1","5","5","4","5","5","5","5","5","5","4","5","5","5","5","5","5","3","3","187","23","1","7","economist","38",NA,"Scientists"
"14","5/14/2014 15:21","5/14/2014 15:24","1","NPW",NA,"1",NA,"1","4","5","5","7","5","7","5","6","6","3","3","6","6","6","7","6","6","2","187","50","1","6",NA,"39",NA,"Scientists"
"15","5/14/2014 15:23","5/14/2014 15:31","1","NPW",NA,"1",NA,"1","3","5","3","7","5","4","5","6","5","2","5","5","6","5","6","5","4","2","9","48","1","6",NA,"38",NA,"Scientists"
"16","5/14/2014 15:37","5/14/2014 15:47","1","NPW",NA,"1",NA,"1","5","5","1","6","5","6","3","6","7","5","6","5","5","5","6","3","4","2","187","28","1","6",NA,"38",NA,"Scientists"
"17","5/14/2014 16:42","5/14/2014 16:45","1","NPW",NA,"1",NA,"1","6","5","2","4","6","6","7","6","6","1","4","5","6","6","6","3","5","2","187","36","1","6",NA,"41",NA,"Scientists"
"18","5/14/2014 16:50","5/14/2014 16:58","1","NPW",NA,"1",NA,"1","5","5","2","5","5","5","5","6","5","5","6","5","6","6","7","6","3","1","187","4","1","6",NA,"38",NA,"Scientists"
"19","5/14/2014 16:59","5/14/2014 17:02","1","NPW",NA,"1",NA,"1","6","5","1","5","6","5","7","7","7","5","7","5","7","7","7","7","5","2","187","27","1","7","economist","39",NA,"Scientists"
"20","5/14/2014 17:15","5/14/2014 17:19","1","NPW",NA,"1",NA,"1","5","5","5","5","5","5","6","6","6","3","4","5","6","6","6","6","5","2","187",NA,"1","6",NA,"41",NA,"Scientists"
"21","5/14/2014 17:51","5/14/2014 18:02","1","NPW",NA,"1",NA,"1","6","6","6","6","6","6","6","6","6","4","4","4","6","7","7","6","6","3","187","5","1","7","retired","38",NA,"Scientists"
"22","5/14/2014 18:19","5/14/2014 18:24","1","NPW",NA,"1",NA,"1","6","5","5","6","6","6","6","6","6","3","5","5","6","6","6","5","4","5","187","24","1","6",NA,"38",NA,"Scientists"
"23","5/14/2014 19:25","5/14/2014 19:29","1","NPW",NA,"1",NA,"1","7","6","6","5","7","7","4","7","6","5","2","4","7","7","7","7","1","1","187","10","1","6",NA,"38",NA,"Scientists"
"24","5/14/2014 19:30","5/14/2014 19:35","1","NPW",NA,"1",NA,"1","7","6","6","6","6","6","7","7","7","5","5","5","6","7","7","6","6","3","187","13","1","6",NA,"38",NA,"Scientists"
"25","5/14/2014 21:14","5/14/2014 21:20","1","NPW",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientists"
"26","5/14/2014 23:50","5/15/2014 0:00","1","NPW",NA,"1",NA,"1","6","1","2","7","7","7","6","6","6","3","6","5","6","5","4","6","5","1","65","24","1","6",NA,"40",NA,"Scientists"
"27","5/15/2014 3:06","5/15/2014 3:11","1","NPW",NA,"1",NA,"1","6","6","6","6","7","6","6","6","7","4","4","4","6","6","6","6","6","5","185","20","1","6",NA,"38",NA,"Scientists"
"28","5/15/2014 5:11","5/15/2014 5:16","1","NPW",NA,"1",NA,"1","6","7","3","6","6","7","5","3","6","6","6","6","6","7","7","3","3","1","186","8","1","6",NA,"38",NA,"Scientists"
"29","5/16/2014 14:06","5/16/2014 14:13","1","NPW",NA,"1",NA,"1","5","4","2","6","5","5","3","5","5","2","2","2","6","5","7","5","5","5","185","19","1","6",NA,"39",NA,"Scientists"
"30","5/16/2014 21:34","5/16/2014 21:38","1","NPW",NA,"1",NA,"1","7","6","6","7","6","6","6","7","7","4","4","5","7","6","7","6","5","5","187","27","1","6",NA,"41",NA,"Scientists"
"31","5/19/2014 14:41","5/19/2014 14:47","1","NPW",NA,"1",NA,"1","4","4","2","5","6","5","4","5","6","5","5","4","5","4","5","5","5","1","187","4","1","6",NA,"38",NA,"Scientists"
"32","5/19/2014 17:25","5/19/2014 18:49","1","NPW",NA,"1",NA,"1","6","6","6","7","6","7","5","6","6","5","6","5","7","5","3","6","5","3","187",NA,"1","6",NA,"38",NA,"Scientists"
"33","5/19/2014 18:58","5/19/2014 19:04","1","NPW",NA,"1",NA,"1","5","5","5","5","5","6","6","6","6","4","5","5","5","6","6","6","5","2","187","2","1","6",NA,"38",NA,"Scientists"
"34","5/22/2014 16:25","5/22/2014 17:01","1","NPW",NA,"1",NA,"1","7","7","3","6","6","6","6","7","7","4","3","4","7","7","6","6","6","3","185","5","1","6",NA,"43",NA,"Scientists"
"35","5/23/2014 19:33","5/23/2014 19:35","1","NPW",NA,"1",NA,"1","5","6","2","6","6","6","6","6","6","5","5","6","7","6","7","5","5","2","187","28","1","6",NA,"38",NA,"Scientists"
"36","5/24/2014 0:50","5/24/2014 0:57","1","NPW",NA,"1",NA,"1","5","4","2","5","5","4","6","6","6","4","5","5","6","6","6","5","4","2","187","33","1","6",NA,"38",NA,"Scientists"
"37","5/26/2014 18:58","5/26/2014 19:04","1","NPW",NA,"1",NA,"1","5","3","2","5","5","6","6","6","6","5","4","4","5","3","5","3","3","3","61","19","1","6",NA,"39",NA,"Scientists"
