Old_name;New_name
V1;delete1
V2;delete2
V3;delete3
V4;delete4
V5;delete5
V6;delete6
V7;delete7
V8;Start_time
V9;End_time
V10;Finished
Respondent_Group;Respondent_group
Screening;Screening
Intro;delete12
Consent;Consent
Reason_NC;Reason_nc
Check_PhD;Check_phd
CheckGroup;Check_group
Intro_1;delete13
Objectivit_1;Ob_lawyers
Objectivit_2;Ob_politicians
Objectivit_3;Ob_journalists
Objectivit_4;Ob_med_doctors
Objectivit_5;Ob_accountants
Objectivit_6;Ob_army_lieutenants
Objectivit_7;Ob_bankers
Objectivit_8;Ob_judges
Objectivit_9;Ob_detectives
Objectivit_10;Ob_scientists
Rationalit_1;Ra_lawyers
Rationalit_2;Ra_politicians
Rationalit_3;Ra_journalists
Rationalit_4;Ra_med_doctors
Rationalit_5;Ra_accountants
Rationalit_6;Ra_army_lieutenants
Rationalit_7;Ra_bankers
Rationalit_8;Ra_judges
Rationalit_9;Ra_detectives
Rationalit_10;Ra_scientists
Open-mind_1;Op_lawyers
Open-mind_2;Op_politicians
Open-mind_3;Op_journalists
Open-mind_4;Op_med_doctors
Open-mind_5;Op_accountants
Open-mind_6;Op_army_lieutenants
Open-mind_7;Op_bankers
Open-mind_8;Op_judges
Open-mind_9;Op_detectives
Open-mind_10;Op_scientists
Intelligen_1;Iq_lawyers
Intelligen_2;Iq_politicians
Intelligen_3;Iq_journalists
Intelligen_4;Iq_med_doctors
Intelligen_5;Iq_accountants
Intelligen_6;Iq_army_lieutenants
Intelligen_7;Iq_bankers
Intelligen_8;Iq_judges
Intelligen_9;Iq_detectives
Intelligen_10;Iq_scientists
Integrity_1;In_lawyers
Integrity_2;In_politicians
Integrity_3;In_journalists
Integrity_4;In_med_doctors
Integrity_5;In_accountants
Integrity_6;In_army_lieutenants
Integrity_7;In_bankers
Integrity_8;In_judges
Integrity_9;In_detectives
Integrity_10;In_scientists
Competitiv_1;Co_lawyers
Competitiv_2;Co_politicians
Competitiv_3;Co_journalists
Competitiv_4;Co_med_doctors
Competitiv_5;Co_accountants
Competitiv_6;Co_army_lieutenants
Competitiv_7;Co_bankers
Competitiv_8;Co_judges
Competitiv_9;Co_detectives
Competitiv_10;Co_scientists
Dem_intro;delete14
Dem_countr;Country
Dem_born;Year_born
Dem_yr_PhD;Year_phd
Dem_gender;Gender
Dem_relig;Religiousness
Feedback;Feedback
LocationLatitude;delete15
LocationLongitude;delete16
LocationAccuracy;delete17
